Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,ClassValues
-0.0116,-0.028539,-0.005019,0.041634,0.063957,-0.001745,0.027222,0.020287,-0.024887,No-use
-0.010138,0.017647,0.010105,-0.057129,-0.03006,-0.025589,0.00728,0.016088,-0.019309,No-use
0.003374,-0.01711,-0.024554,0.069461,0.018662,0.002452,0.044907,-0.003422,-0.013503,No-use
-0.020781,-0.072021,0.00619,0.002027,0.00778,0.035985,0.024106,0.010649,-0.039602,No-use
-0.006168,0.015799,-0.015027,-0.041144,0.000791,-0.02522,0.009304,0.036504,-0.000919,No-use
0.081653,0.015818,-0.057084,-0.01609,-0.006693,-0.02373,0.01083,-0.034289,0.01382,No-use
0.008279,0.035085,-0.017102,-0.004925,0.042878,-0.01461,0.019703,0.039229,-0.008005,No-use
0.005889,0.00931,-0.043654,-0.026497,0.038115,-0.059205,-0.011945,-0.01498,0.013919,No-use
-0.001965,0.028485,0.02083,0.006304,0.055281,-0.036209,0.015781,0.01646,-0.032846,No-use
-0.015634,-0.037744,-0.011758,0.010421,-0.029244,0.083019,0.042156,0.0034,-0.04333,No-use
0.011394,0.015513,0.007906,0.006057,0.040471,-0.000129,0.024193,0.01907,-0.03332,No-use
-0.041083,-0.006568,0.018324,-0.033553,-0.013255,-0.024491,0.007865,0.008887,-0.028821,No-use
-0.045002,0.016026,-0.011994,-0.015651,0.018876,0.00785,-0.000592,-0.039523,-0.037431,No-use
0.040953,-0.006834,-0.003001,0.014632,-0.015299,-0.019707,0.032383,-0.007728,-0.016317,No-use
0.025833,-0.059831,-0.026202,-0.00121,-0.016897,-0.020017,0.023249,0.012966,0.006921,No-use
0.029827,0.038363,-0.03568,0.014574,0.037913,-0.02484,0.027489,0.036062,0.008762,No-use
0.024854,0.029122,-0.034113,-0.001301,0.015751,-0.030337,0.023326,0.032645,0.011732,No-use
-0.025721,0.024653,-0.005076,-0.015255,0.004602,-0.034628,0.013756,0.020141,-0.00991,No-use
-0.030269,0.013496,-0.005829,-0.016771,0.009306,-0.031062,0.012122,0.02388,-0.009893,No-use
-0.030631,0.020016,-0.029839,-0.017214,-0.009599,-0.010866,0.001557,-0.043685,-0.015995,No-use
0.015469,-0.007957,-0.015353,0.021803,-0.027428,-0.042921,0.030095,-0.010139,0.000151,No-use
0.01772,0.018632,0.011814,-0.0016,0.010249,-0.009768,0.024774,0.005754,-0.032082,No-use
-0.00913,0.012941,-0.048113,0.005238,-0.012096,-0.017914,0.009782,-0.047221,-0.000356,No-use
-0.03414,0.020593,0.002947,-0.032427,0.0001,-0.008108,0.046171,0.016114,0.058734,No-use
-0.005704,-0.039147,-0.012987,-0.001139,0.025143,0.014832,0.038702,-0.053656,0.045529,No-use
-0.023219,-0.002542,0.023172,-0.060655,0.010711,-0.037469,-0.020812,-0.045859,-0.043709,No-use
-0.025679,0.019364,-0.019576,-0.038964,0.020409,-0.002531,0.026745,-0.032963,0.057443,No-use
-0.031141,0.001408,-0.028459,0.001324,-0.023226,-0.019156,0.023428,0.01381,0.003241,No-use
-0.02439,0.002612,-0.026872,0.008026,-0.026582,-0.019732,0.026537,0.007649,0.001524,No-use
-0.032873,0.019799,-0.031918,0.007543,-0.000175,-0.016265,0.024043,0.023755,0.003114,No-use
-0.023028,-0.008462,0.006507,-0.012397,0.001908,0.000478,0.052668,0.004741,0.052491,No-use
-0.012187,-0.030566,-0.019708,-0.031444,0.005283,-0.060348,0.00256,0.033684,0.015943,No-use
0.012095,0.017673,-0.056783,-0.029583,0.057325,0.028582,0.000397,0.009191,-0.005192,No-use
0.019578,0.047445,-0.014761,0.003292,0.034818,-0.018753,0.024447,0.029329,-0.009738,No-use
0.021477,-0.045254,-0.011162,0.007974,-0.006562,-0.056865,0.018983,0.002142,0.005106,No-use
0.017136,0.02131,-0.031084,-0.009641,0.030305,0.021853,0.026042,0.045946,-0.007334,No-use
0.04193,0.035894,-0.024018,-0.01501,0.007228,0.02215,0.013482,-0.041663,-0.031037,No-use
0.077646,0.007496,-0.033198,-0.002131,-0.026771,-0.026509,0.032768,0.010312,0.01284,No-use
0.028597,-0.074495,0.00333,-0.007449,0.023036,-0.016783,-0.013175,0.029709,0.002473,No-use
0.040552,0.021393,-0.028555,-0.009701,0.002083,-0.022908,0.007496,-0.047485,-0.011937,No-use
-0.04016,-0.00561,-0.014197,0.036074,0.056744,0.017302,0.028408,0.028174,-0.025247,No-use
-0.008913,0.017229,-0.013564,-0.033608,0.037507,0.032467,0.016183,0.053221,-0.022956,No-use
0.001341,-0.007535,-0.017471,0.000184,0.056101,-0.001306,0.018346,0.043917,-0.010798,No-use
0.037479,0.011773,0.005002,-0.012368,0.034423,0.014488,-0.004619,0.039105,-0.013405,No-use
0.000562,0.032962,-0.041009,-0.041461,0.04415,-0.016752,-0.009507,-0.002627,-0.002337,No-use
-0.009822,-0.0047,-0.002164,-0.021373,0.063954,-0.028805,-0.012115,-0.026502,-0.030561,No-use
-0.041109,-0.006805,-0.025959,-0.00925,-0.007553,0.033226,0.025107,0.029164,-0.015253,No-use
-0.018709,-0.001556,0.022681,-0.029195,0.016779,-0.043444,0.004784,0.015421,-0.026316,No-use
0.011525,0.014514,0.008841,0.024041,-0.000749,0.016904,0.037639,-0.008001,-0.041546,No-use
-0.025131,0.048234,-0.035885,0.034106,0.042801,-0.008262,0.030895,0.03301,-0.001127,No-use
0.013104,-0.013108,-0.042843,0.018455,0.025339,-0.027322,0.008015,-0.041793,-0.001233,No-use
0.013691,0.026268,0.008131,0.005338,0.036886,-0.003503,0.024791,0.017384,-0.032764,No-use
0.002392,0.013908,0.005789,-0.002879,0.044946,0.000639,0.020047,0.027284,-0.031031,No-use
0.000009,0.024053,-0.001411,0.029032,-0.003496,0.004009,0.020136,-0.080597,-0.048874,No-use
-0.024389,-0.04493,-0.043763,-0.027382,0.032502,0.024667,-0.004395,-0.009686,-0.012162,No-use
-0.046848,0.008952,-0.032468,-0.017268,-0.017863,-0.020994,0.015735,0.028554,0.008373,No-use
0.008101,-0.006792,-0.003776,-0.035596,-0.017774,0.022351,0.020732,0.021376,-0.025008,No-use
-0.019927,0.025122,-0.027358,-0.011395,0.007468,-0.043513,0.014288,0.031349,0.010862,No-use
-0.01084,0.015374,-0.024002,0.018478,-0.03576,-0.024067,0.032317,-0.004305,-0.000781,No-use
-0.032434,-0.003394,0.024335,-0.02195,0.04424,0.030282,0.031159,-0.053068,0.009547,No-use
0.027287,0.023196,-0.015941,0.038475,-0.013556,-0.044364,0.036491,-0.012147,-0.002281,No-use
0.006105,-0.008731,-0.014542,0.04062,-0.028577,0.032375,0.04731,-0.014331,-0.028395,No-use
-0.003007,0.006582,0.009677,-0.033114,-0.004083,-0.01392,0.013356,0.016713,-0.025107,No-use
0.066752,0.022403,-0.004498,-0.027011,-0.055614,-0.023698,-0.000272,0.006257,0.009934,No-use
0.011649,-0.022406,-0.009575,-0.011458,0.00171,-0.014028,0.019348,0.018601,-0.010006,No-use
-0.029358,0.003877,0.018345,-0.010975,0.005551,-0.01957,0.015137,0.006142,-0.033508,No-use
-0.005581,0.023852,0.038763,-0.052505,0.04611,0.006191,0.038628,0.026173,0.027433,No-use
0.055289,0.022922,-0.036942,-0.015257,-0.007581,0.058229,0.021894,-0.039053,-0.03151,No-use
0.009489,0.021979,-0.017035,0.035722,0.023378,-0.027979,0.003259,0.02127,0.011983,No-use
0.012137,0.027826,-0.021335,0.052226,-0.022547,-0.020106,0.044772,-0.017318,-0.008329,No-use
0.035505,0.025752,0.021507,0.017034,0.002419,-0.005519,0.005597,-0.000844,-0.024019,No-use
0.073913,0.021968,-0.015788,0.009542,0.03011,-0.033854,-0.017434,-0.041756,-0.000779,No-use
-0.010925,0.026727,-0.025241,-0.002459,0.002993,-0.044281,0.018434,0.023134,0.008573,No-use
0.025552,0.020032,0.026099,0.06841,0.029971,-0.009236,0.04463,-0.028468,-0.05202,No-use
-0.016204,0.029408,-0.020085,-0.018621,0.040333,0.002581,0.032981,-0.033654,0.053328,No-use
0.055516,-0.030341,0.004994,0.016556,0.034223,0.019894,0.032894,0.01137,-0.035132,No-use
0.00067,0.040235,0.025129,0.03869,0.03846,-0.007701,0.004884,0.004692,-0.030831,No-use
-0.030623,0.0202,-0.031389,0.009777,-0.001293,-0.016457,0.02508,0.021702,0.002542,No-use
-0.024675,-0.011953,-0.042356,-0.050601,-0.001765,0.006058,-0.008238,-0.015736,-0.005826,No-use
-0.05126,0.007303,0.011364,-0.003927,-0.000084,0.005264,0.020309,0.007132,-0.03784,No-use
-0.020893,0.018514,-0.022741,-0.013033,0.018666,0.008101,0.020113,0.038488,-0.009921,No-use
-0.026402,0.027474,0.044479,0.017852,0.063551,0.032133,0.060546,-0.000898,0.00488,No-use
-0.049099,0.008551,-0.032997,-0.019503,-0.016744,-0.020802,0.014698,0.030608,0.008945,No-use
-0.019417,0.011853,-0.028439,0.023901,-0.004419,-0.014236,0.0307,0.011065,-0.001446,No-use
-0.027793,0.02847,0.02448,-0.026341,0.034602,0.020352,0.031918,-0.05607,0.011785,No-use
0.016098,0.025794,-0.044917,0.04122,-0.000001,-0.014146,0.023272,-0.062288,-0.008475,No-use
-0.025095,0.010998,0.050258,-0.002727,0.013634,0.02018,0.057402,-0.017998,0.007961,No-use
-0.007929,-0.007987,0.027951,-0.029431,-0.013213,-0.050285,0.007876,-0.002371,-0.027351,No-use
-0.028938,-0.008545,-0.027626,0.006511,-0.021877,-0.016166,0.024902,0.011388,0.001541,No-use
-0.0073,-0.006113,-0.001314,0.04382,-0.0113,-0.000523,0.039336,-0.017309,-0.02905,No-use
-0.006386,0.005823,-0.022639,0.025899,-0.03553,-0.021269,0.034828,-0.008781,-0.003053,No-use
-0.01766,0.019774,-0.052854,0.007708,0.016777,-0.011265,0.007726,-0.031483,0.000107,No-use
-0.015528,-0.026844,-0.023842,0.025822,-0.023655,-0.010955,0.031997,-0.001671,-0.004146,No-use
-0.009976,-0.004599,0.000477,0.027226,-0.037048,-0.009393,0.035771,-0.022411,-0.025524,No-use
-0.000981,-0.012725,0.00988,-0.042958,0.040953,-0.024781,0.001823,0.040993,-0.019707,No-use
0.0288,0.008714,-0.007023,0.033016,-0.035488,-0.041469,0.008407,-0.01226,0.010486,No-use
-0.052689,-0.001871,-0.009881,-0.018176,-0.018262,-0.008926,0.015641,0.016978,-0.013526,No-use
0.072277,0.005112,-0.013236,0.008368,-0.002771,-0.00856,0.034765,0.006259,-0.010885,No-use
0.073645,-0.02475,-0.020416,-0.010742,-0.032801,0.031566,0.008874,0.021078,0.004841,No-use
-0.026223,0.000111,-0.028172,-0.00684,-0.006902,-0.004886,0.004506,-0.048529,-0.019394,No-use
-0.002577,-0.011015,0.024369,0.003757,0.038282,-0.032544,0.015005,0.007832,-0.034402,No-use
0.062155,-0.014329,-0.000042,0.03942,0.037575,-0.06887,-0.001624,0.00997,0.014975,No-use
0.006888,0.030392,-0.010165,-0.020922,0.02721,0.027941,0.023,0.039214,-0.025833,No-use
0.047769,0.028726,-0.033234,-0.02655,0.019553,0.032905,-0.001135,0.062242,0.012564,No-use
-0.022586,0.020887,-0.051592,-0.01112,-0.007852,-0.019944,0.003125,-0.034531,0.004205,No-use
0.069793,0.03236,0.00435,0.002474,-0.022887,-0.057845,0.028568,-0.013405,-0.009192,No-use
0.015107,0.024751,-0.012725,-0.004278,-0.007537,0.010619,0.013173,-0.059757,-0.037612,No-use
-0.032056,-0.010528,-0.007135,0.019244,0.001004,0.00159,0.027936,0.005281,-0.022756,No-use
0.000766,0.010676,0.004204,0.0031,-0.030753,-0.039631,0.024541,-0.012395,-0.016077,No-use
0.015376,-0.028665,-0.014744,0.027709,-0.022494,-0.036557,0.030971,-0.010876,-0.002103,No-use
-0.035596,0.010959,-0.029822,-0.006098,-0.023456,-0.021954,0.020917,0.018286,0.005513,No-use
-0.045844,0.020041,-0.008903,-0.017379,-0.026551,-0.015866,0.017874,0.011553,-0.012987,No-use
-0.033485,0.012176,-0.028678,-0.048839,0.008341,-0.033588,-0.015015,-0.022084,-0.00537,No-use
-0.001978,-0.014083,-0.020971,0.036273,-0.032834,-0.015289,0.037778,-0.013625,-0.006452,No-use
0.039825,-0.028546,-0.02504,0.014834,0.050015,0.050497,0.017603,-0.034664,-0.040182,No-use
-0.015591,0.000428,0.00219,-0.041929,-0.006102,-0.0612,0.00175,0.021527,-0.002019,No-use
-0.034383,-0.000036,0.003204,-0.046409,-0.029643,0.005801,0.012292,0.018394,-0.025323,No-use
-0.008734,0.026583,-0.012933,-0.018578,-0.006181,0.046318,0.02919,0.026519,-0.030055,No-use
0.005127,0.012294,0.005877,-0.037406,-0.000076,-0.051457,-0.010354,-0.054819,-0.027531,No-use
-0.020165,0.03144,0.003497,-0.007615,0.017788,-0.003379,0.05448,0.011316,0.053475,No-use
-0.005976,-0.032197,-0.042761,-0.040215,0.02671,-0.054579,-0.017903,-0.01334,0.015224,No-use
0.031083,-0.004333,-0.011034,-0.007533,-0.002343,-0.055707,0.000381,-0.062831,-0.014164,No-use
0.030555,-0.07118,-0.058721,-0.042583,-0.021704,0.062353,0.007839,-0.018773,-0.00754,No-use
-0.02268,0.000179,-0.050983,-0.005214,-0.002918,-0.01358,0.004001,-0.035267,0.00195,No-use
0.001107,0.020114,0.000643,-0.003476,0.034866,-0.050783,0.013186,0.022198,-0.009676,No-use
0.004925,-0.102791,0.016529,-0.024038,0.032933,-0.005783,0.006347,0.024362,-0.028617,No-use
0.053523,0.014817,-0.010976,-0.026056,-0.037083,0.06085,0.021345,-0.061892,-0.051599,No-use
-0.01252,-0.019105,-0.027643,0.008847,0.059407,-0.007645,0.000683,-0.027362,-0.019809,No-use
0.012321,0.011306,0.015701,-0.031835,-0.038779,-0.024328,0.018083,-0.004818,-0.026158,No-use
-0.011392,0.028795,0.021034,-0.016992,0.032889,-0.044503,0.009107,0.01752,-0.027604,No-use
0.031382,0.01268,0.018433,0.029878,0.03399,0.00711,0.00649,0.010051,-0.026956,No-use
-0.031188,0.017242,-0.001517,-0.021361,0.018037,0.017371,0.017509,0.031388,-0.029548,No-use
-0.008781,0.016229,-0.012629,-0.015625,-0.003714,0.0495,0.029629,0.026151,-0.031182,No-use
0.027403,0.006592,0.020766,-0.021457,0.032676,0.017972,0.020245,0.022172,-0.045673,No-use
-0.018221,0.001134,-0.00597,-0.000919,0.051607,-0.005123,-0.000724,-0.037834,-0.038325,No-use
0.04706,-0.053037,0.016413,0.000524,0.027964,0.075171,0.006489,0.026611,-0.040859,No-use
-0.024909,0.010007,0.002695,-0.026065,-0.009718,0.010914,0.018528,0.017703,-0.029438,No-use
-0.028861,0.038628,-0.012155,-0.009542,0.074198,-0.007828,-0.005131,-0.018937,-0.033909,No-use
0.058946,-0.021799,0.016153,-0.006934,-0.020627,0.00717,0.002441,0.002784,-0.017729,No-use
0.008551,0.017605,-0.033971,-0.031209,0.05334,0.037275,0.000902,-0.004071,-0.026535,No-use
-0.024223,-0.045508,-0.000094,-0.00671,-0.006114,-0.021609,0.015332,0.008353,-0.01542,No-use
0.038421,-0.005934,-0.037576,-0.041749,0.003443,0.02837,0.020974,0.052365,0.001784,No-use
0.001545,0.002057,0.027443,-0.009088,0.006712,-0.045173,0.014111,-0.003063,-0.031466,No-use
0.023731,-0.083661,0.049204,-0.00361,0.092312,-0.020983,0.010619,0.024817,0.048115,No-use
-0.011864,0.020356,0.023659,-0.028399,0.00849,-0.050384,0.007017,0.009996,-0.025778,No-use
0.010828,-0.007945,-0.015796,-0.02764,0.007724,-0.053978,-0.008947,-0.044348,-0.009015,No-use
-0.000757,0.006983,0.010206,-0.03088,-0.005201,-0.014113,0.014393,0.01466,-0.025679,No-use
0.023259,0.030832,-0.019625,0.045413,0.013081,-0.038099,0.036508,-0.000516,-0.002963,No-use
-0.002063,0.023459,0.004427,-0.010301,0.044716,-0.002159,0.017536,0.03176,-0.028759,No-use
0.007084,0.040444,0.022642,0.012288,0.04834,-0.040159,0.019488,0.008614,-0.034007,No-use
-0.003756,0.025832,-0.024424,-0.008388,0.018198,-0.030204,0.000548,-0.041259,-0.014634,No-use
-0.022093,0.013367,-0.026647,0.007307,-0.030167,-0.023106,0.027135,0.005963,0.00208,No-use
0.014882,0.005043,-0.013051,-0.016355,0.038617,-0.000049,0.000604,-0.033424,-0.03164,No-use
0.012083,0.017624,0.046557,-0.028055,-0.028459,0.015806,0.058275,-0.024851,0.016455,No-use
0.070111,0.025234,-0.012824,-0.026763,-0.014891,-0.009141,0.009329,-0.056337,-0.026595,No-use
-0.028933,0.001962,0.016024,0.003384,0.032417,-0.010507,0.017666,0.013297,-0.036462,No-use
0.055235,-0.013046,0.023413,0.015849,0.015455,-0.026401,0.028172,-0.010717,-0.035138,No-use
0.035312,-0.039281,0.016939,0.016007,0.057323,-0.009245,0.022248,0.014184,-0.035197,No-use
-0.016881,0.011154,-0.029615,-0.00448,0.054243,-0.016806,-0.002704,-0.02215,-0.015282,No-use
0.029099,0.035321,-0.001617,0.005043,-0.052063,0.03399,0.044281,-0.015548,-0.036828,No-use
-0.004452,-0.042435,-0.049944,-0.023119,0.012989,0.062774,-0.02078,-0.003037,-0.000584,No-use
0.014751,0.013464,-0.024913,0.009823,-0.006211,0.048046,0.011421,0.030393,-0.003475,No-use
-0.003901,0.010452,-0.040523,-0.02204,0.0101,0.007028,0.002742,-0.026327,-0.011674,No-use
-0.007462,0.016133,0.008314,-0.040536,-0.004312,-0.016718,0.010845,0.021189,-0.022835,No-use
-0.018012,0.026591,0.020382,-0.005711,-0.004976,-0.026894,0.019443,-0.00339,-0.034114,No-use
0.069901,0.029327,-0.008914,0.000989,-0.005467,-0.008947,0.005383,0.018882,0.004582,No-use
0.024258,0.021222,-0.020316,-0.073174,-0.037946,-0.029017,0.007067,0.035813,0.009292,No-use
-0.001978,-0.014083,-0.020971,0.036273,-0.032834,-0.015289,0.037778,-0.013625,-0.006452,No-use
-0.031303,-0.013696,-0.055116,0.003162,0.03089,-0.000567,0.002822,-0.020266,0.000157,No-use
0.010963,0.006922,-0.033424,-0.005176,-0.04069,-0.014851,0.028901,0.010005,0.007638,No-use
0.078529,0.02752,0.012231,0.015124,-0.023776,-0.049646,0.005683,-0.012156,0.000032,No-use
0.025417,-0.063091,0.036781,0.003816,0.02603,-0.051107,0.012605,-0.008316,-0.034471,No-use
-0.010789,0.036234,0.019344,0.012398,0.016068,-0.02159,0.024643,-0.002027,-0.037657,No-use
0.06087,-0.014456,0.035406,-0.002454,-0.038047,-0.036135,-0.000806,-0.021724,-0.019434,No-use
0.004178,0.011743,-0.019543,-0.013257,0.014451,-0.065357,0.010591,0.027937,0.013494,No-use
-0.022109,0.039832,-0.010567,-0.002839,0.070843,-0.008404,-0.002022,-0.025098,-0.035625,No-use
-0.011142,0.006558,-0.01346,-0.057019,-0.021371,-0.030716,0.005141,0.033088,0.002051,No-use
0.068348,0.009531,-0.028633,-0.013169,0.03298,0.052194,-0.011926,-0.015209,-0.016331,No-use
-0.001722,0.006064,-0.012114,-0.060714,-0.007285,-0.016831,-0.011708,-0.033358,-0.021728,No-use
0.012538,-0.016067,-0.012971,-0.012683,0.04467,0.006507,0.000443,-0.032107,-0.033323,No-use
-0.046712,0.018459,0.012117,-0.002411,-0.004788,0.001698,0.021944,0.003393,-0.037857,No-use
-0.009342,-0.028599,0.007618,0.001386,-0.00768,0.022297,0.027535,0.001854,-0.037953,No-use
-0.023569,0.020028,-0.02095,-0.029626,-0.007082,-0.00077,0.016548,0.033387,-0.006395,No-use
-0.03477,0.012693,-0.006888,-0.021239,0.011543,-0.030677,0.010049,0.027987,-0.008749,No-use
0.012772,0.003826,-0.014195,0.026385,0.006821,0.011584,0.036536,0.006946,-0.020758,No-use
0.030105,-0.020873,0.036621,-0.003528,0.013926,-0.064219,0.012925,-0.01095,-0.031105,No-use
-0.044172,0.007439,-0.034259,-0.000675,0.007885,-0.012123,0.019299,0.033655,0.004848,No-use
-0.018335,-0.024331,-0.022986,-0.008756,-0.008182,-0.036858,0.014987,0.020298,0.007606,No-use
-0.020731,0.002294,0.006731,-0.013116,-0.001677,-0.002896,0.053266,0.003055,0.053047,No-use
-0.017706,0.00942,-0.05255,0.010661,0.019244,-0.008083,0.008164,-0.031851,-0.001021,No-use
-0.046895,-0.001401,-0.032163,-0.014315,-0.015396,-0.017812,0.016173,0.028186,0.007246,No-use
-0.023399,0.029843,-0.032427,0.027886,0.01975,-0.011153,0.030279,0.023064,-0.001001,No-use
0.013884,-0.061847,-0.047422,0.01502,0.03584,0.076664,-0.009084,-0.013048,-0.01037,No-use
-0.015332,0.00962,0.002844,0.017119,0.047351,0.011663,0.059957,0.013627,0.047122,No-use
-0.044648,-0.022555,0.013865,0.011635,0.003961,0.014234,0.024733,-0.000134,-0.042938,No-use
-0.013137,0.030807,0.002412,-0.006441,0.006621,0.012652,0.025362,0.015327,-0.032998,No-use
-0.036136,0.008125,-0.054463,-0.021572,0.001327,-0.01561,-0.002655,-0.022577,0.00651,No-use
0.065843,-0.005215,0.033839,0.013421,-0.015885,-0.030638,0.003357,-0.018308,-0.022405,No-use
-0.024254,0.012119,0.017713,0.022883,-0.013507,0.002959,0.032746,-0.017512,-0.044706,No-use
-0.000122,-0.000799,0.037053,-0.019557,-0.001145,-0.019229,0.049636,-0.01325,0.035462,No-use
0.036142,-0.048514,0.008331,-0.03849,-0.032493,0.000606,0.017894,0.005597,-0.023949,No-use
0.055434,0.038302,-0.020843,-0.001605,0.000517,0.020998,0.0197,-0.053985,-0.034469,No-use
0.009832,0.017223,0.046027,-0.030289,-0.02734,0.015998,0.057238,-0.022797,0.017027,No-use
