Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,ClassValues
-0.027573,0.01397,-0.02985,-0.010424,0.023099,0.052568,1
0.018887,0.014927,-0.029158,0.003529,-0.05589,0.058088,0
0.010614,0.043024,0.003891,0.018014,-0.028037,0.003866,0
0.024867,0.03501,0.005666,0.014692,0.013586,-0.033138,0
0.015521,0.054326,-0.000075,0.012175,-0.001348,-0.005877,0
0.006175,0.073641,-0.005817,0.009658,-0.016282,0.021384,0
0.005881,0.027554,0.003507,0.012854,0.020005,-0.033825,0
0.007797,0.028814,-0.01787,0.001434,0.011955,0.002045,1
-0.009739,-0.0193,-0.027733,0.00237,-0.028119,0.029454,0
-0.016095,0.010057,-0.016063,0.005435,-0.008315,0.011102,1
-0.025441,0.029372,-0.021804,0.002918,-0.023249,0.038363,1
-0.022451,0.039414,-0.004392,0.008499,0.011489,-0.00725,0
-0.011189,0.021358,-0.020029,-0.000404,0.018374,0.001358,1
0.009419,-0.016013,-0.029924,-0.00679,0.040193,-0.017294,0
-0.05125,0.009356,0.001381,0.018339,-0.035469,0.01155,0
-0.039988,-0.0087,-0.014255,0.009435,-0.028585,0.020159,0
-0.028725,-0.026756,-0.029892,0.000532,-0.0217,0.028767,0
-0.046344,0.020657,-0.002585,0.0125,-0.008781,0.001806,0
-0.025736,-0.016715,-0.01248,0.006114,0.013038,-0.016846,0
-0.030175,0.013902,-0.022187,-0.002242,0.024793,0.000672,1
0.014369,0.013599,-0.000117,0.023131,-0.046148,-0.029678,0
0.032455,0.008105,-0.041097,-0.003031,-0.020624,0.005058,1
-0.013963,0.025459,-0.008016,0.018776,-0.054663,-0.003103,0
-0.023309,0.044775,-0.013758,0.016259,-0.069597,0.024158,0
0.006645,-0.011912,-0.017912,0.01239,-0.032844,-0.021756,0
-0.0027,0.007403,-0.023653,0.009873,-0.047778,0.005506,0
0.008562,-0.010652,-0.039289,0.00097,-0.040894,0.014114,0
0.022814,-0.018667,-0.037514,-0.002352,0.000729,-0.02289,0
0.013468,0.000649,-0.043255,-0.004869,-0.014205,0.004371,1
-0.013495,0.067377,-0.02169,0.004582,-0.016219,0.004671,1
0.027721,-0.007366,-0.04148,-0.008191,0.027418,-0.032634,0
-0.001078,-0.037424,-0.035706,0.001649,-0.019541,-0.013833,0
-0.01678,0.011249,-0.029777,0.002196,-0.014671,-0.004924,1
0.003828,-0.026123,-0.039672,-0.00419,0.007148,-0.023577,0
-0.023136,0.040606,-0.018107,0.005261,0.005134,-0.023277,0
-0.011873,0.02255,-0.033743,-0.003642,0.012018,-0.014668,1
-0.042589,-0.008768,-0.006592,0.017617,-0.026891,-0.031737,0
-0.051935,0.010548,-0.012333,0.0151,-0.041825,-0.004476,0
-0.061281,0.029863,-0.018074,0.012583,-0.056759,0.022785,0
-0.015158,-0.033578,-0.041831,-0.006028,0.013567,-0.024263,0
-0.019597,-0.002962,-0.051538,-0.014384,0.025322,-0.006746,1
0.010578,0.026823,0.023442,0.000019,-0.050846,0.074515,0
0.021841,0.008768,0.007806,-0.008885,-0.043961,0.083124,0
0.018474,0.048166,0.036888,-0.000239,0.010581,0.019158,0
0.009129,0.067482,0.031147,-0.002756,-0.004353,0.046419,0
0.002855,0.001312,0.005647,-0.010723,-0.037542,0.082437,0
0.005844,0.011353,0.023059,-0.005141,-0.002804,0.036824,0
-0.003501,0.030669,0.017318,-0.007658,-0.017738,0.064085,1
0.007761,0.012613,0.001681,-0.016561,-0.010854,0.072694,1
0.020096,0.003339,0.024834,-0.008463,0.038819,-0.000181,0
0.001405,0.04197,0.013352,-0.013497,0.008951,0.054342,1
0.031359,-0.014717,0.009198,-0.017366,0.045703,0.008428,0
0.022013,0.004599,0.003457,-0.019883,0.030769,0.035689,1
-0.006786,-0.02546,0.00923,-0.010044,-0.01619,0.054489,0
-0.016132,-0.006144,0.003489,-0.012561,-0.031123,0.081751,0
-0.013142,0.003897,0.020901,-0.006979,0.003615,0.036137,1
-0.010152,0.013939,0.038312,-0.001398,0.038353,-0.009476,0
-0.008235,0.015199,0.016935,-0.012818,0.030303,0.026394,1
-0.017581,0.034514,0.011193,-0.015335,0.015369,0.053655,1
0.012373,-0.022173,0.00704,-0.019204,0.052122,0.007741,0
-0.037034,-0.01486,0.022708,-0.002979,-0.016655,0.045194,0
-0.04339,0.014497,0.034379,0.000086,0.003149,0.026842,0
-0.032128,-0.003559,0.018742,-0.008817,0.010033,0.035451,1
-0.015959,-0.010313,-0.00086,-0.023559,0.043607,0.034316,1
0.007977,0.026756,0.031105,0.0082,-0.049152,0.022619,0
0.019239,0.0087,0.015469,-0.000703,-0.042268,0.031228,0
0.022229,0.018741,0.032881,0.004878,-0.00753,-0.014386,0
0.003538,0.057373,0.021398,-0.000155,-0.037397,0.040137,1
0.035408,0.001945,-0.004133,-0.015445,-0.008694,0.030093,1
0.01779,0.049358,0.023173,-0.003477,0.004225,0.003132,0
0.030969,0.032562,-0.013841,-0.0238,0.003061,0.047611,1
-0.020355,0.038615,0.023206,0.003845,-0.057667,0.049194,0
-0.006103,0.030601,0.024981,0.000524,-0.016045,0.012189,0
-0.004186,0.031861,0.003603,-0.010896,-0.024094,0.048059,1
0.007076,0.013805,-0.012033,-0.0198,-0.017209,0.056668,1
0.011983,0.025106,-0.015999,-0.025638,0.009479,0.046924,1
-0.023172,0.024405,0.001445,-0.012734,-0.017675,0.047372,1
-0.018266,0.035706,-0.002521,-0.018573,0.009014,0.037629,1
0.011688,-0.020981,-0.006675,-0.022443,0.045766,-0.008285,0
-0.039636,-0.014928,0.030371,0.005203,-0.014962,-0.006702,0
-0.028373,-0.032983,0.014735,-0.0037,-0.008077,0.001907,0
-0.037719,-0.013668,0.008994,-0.006217,-0.023011,0.029168,0
-0.026457,-0.031723,-0.006643,-0.01512,-0.016127,0.037777,0
-0.035802,-0.012408,-0.012384,-0.017637,-0.031061,0.065038,0
-0.044075,0.015689,0.020664,-0.003152,-0.003207,0.010816,0
-0.023467,-0.021682,0.010769,-0.009539,0.018611,-0.007837,0
-0.032813,-0.002366,0.005028,-0.012056,0.003677,0.019424,1
-0.02155,-0.020422,-0.010609,-0.020959,0.010562,0.028033,1
-0.029823,0.007675,0.022439,-0.006474,0.038416,-0.026189,0
-0.027906,0.008935,0.001062,-0.017894,0.030366,0.009681,1
0.016638,0.008632,0.023132,0.007479,-0.040574,-0.020668,0
0.020471,0.011152,-0.019623,-0.015361,-0.056673,0.051072,0
0.03963,0.014439,-0.021814,-0.024522,0.011639,0.004323,1
-0.002348,0.001176,0.020974,0.005641,-0.034155,-0.021355,0
0.002558,0.012477,0.017008,-0.000198,-0.007467,-0.031098,0
-0.006788,0.031793,0.011266,-0.002715,-0.022401,-0.003837,1
0.004475,0.013737,-0.00437,-0.011618,-0.015516,0.004772,1
0.018727,0.005723,-0.002595,-0.01494,0.026107,-0.032233,0
0.009381,0.025039,-0.008336,-0.017457,0.011173,-0.004972,1
-0.008155,-0.023076,-0.018199,-0.016521,-0.028901,0.022437,0
-0.017501,-0.00376,-0.02394,-0.019037,-0.043835,0.049698,0
-0.035119,0.043653,0.003367,-0.00707,-0.030916,0.022737,1
-0.005166,-0.013034,-0.000787,-0.010939,0.005837,-0.023176,0
-0.023857,0.025597,-0.01227,-0.015973,-0.024031,0.031346,3
-0.009605,0.017583,-0.010494,-0.019295,0.017592,-0.005659,1
0.011003,-0.019789,-0.02039,-0.025681,0.03941,-0.024311,0
-0.035414,-0.002434,0.012691,-0.003874,0.005371,-0.032472,0
-0.024152,-0.02049,-0.002946,-0.012777,0.012256,-0.023863,0
-0.031581,0.000085,-0.030065,-0.026714,-0.010728,0.039268,3
0.015953,0.009824,0.009418,0.00424,-0.04693,-0.036694,0
0.006607,0.02914,0.003676,0.001723,-0.061864,-0.009433,0
0.01787,0.011084,-0.01196,-0.00718,-0.054979,-0.000825,0
0.029132,-0.006972,-0.027597,-0.016083,-0.048095,0.007784,0
0.020859,0.021125,0.005452,-0.001598,-0.020241,-0.046438,0
0.025766,0.032427,0.001486,-0.007437,0.006447,-0.056181,0
0.007075,0.071058,-0.009997,-0.012471,-0.023421,-0.001659,0
0.018337,0.053002,-0.025633,-0.021374,-0.016536,0.00695,2
0.038945,0.015631,-0.035529,-0.02776,0.005283,-0.011703,2
-0.010462,0.022944,-0.01986,-0.011535,-0.063495,0.02575,0
-0.016818,0.052301,-0.008189,-0.00847,-0.04369,0.007398,2
0.00379,0.014929,-0.018085,-0.014856,-0.021872,-0.011255,1
0.024398,-0.022442,-0.02798,-0.021243,-0.000053,-0.029907,0
0.005707,0.016189,-0.039462,-0.026277,-0.029921,0.024615,3
-0.002566,0.044286,-0.006414,-0.011792,-0.002068,-0.029607,1
0.000506,-0.041199,-0.026172,-0.017242,-0.020323,-0.02085,0
-0.017113,0.006214,0.001135,-0.005274,-0.007404,-0.047811,0
-0.003934,-0.010582,-0.035879,-0.025598,-0.008568,-0.003332,2
-0.012206,0.017515,-0.002831,-0.011113,0.019285,-0.057555,0
0.010319,-0.018597,-0.034104,-0.02892,0.033054,-0.040337,0
-0.050351,0.006772,-0.002799,-0.00379,-0.042608,-0.011493,0
-0.059697,0.026088,-0.00854,-0.006307,-0.057542,0.015768,0
-0.018481,-0.048655,-0.028331,-0.01908,-0.013905,-0.021537,0
0.021508,0.003732,0.038718,-0.016355,-0.036694,0.040237,0
0.012162,0.023048,0.032977,-0.018872,-0.051628,0.067498,0
0.03277,-0.014323,0.023081,-0.025259,-0.02981,0.048846,0
0.03576,-0.004282,0.040493,-0.019677,0.004928,0.003232,0
0.011867,-0.023039,0.042301,-0.015677,-0.015342,0.012289,0
0.002522,-0.003723,0.036559,-0.018193,-0.030276,0.03955,0
0.005512,0.006318,0.053971,-0.012612,0.004463,-0.006063,0
0.007428,0.007578,0.032593,-0.024032,-0.003587,0.029807,0
-0.005202,-0.029235,0.018765,-0.028935,-0.016972,0.047473,0
-0.013475,-0.001138,0.051813,-0.01445,0.010881,-0.00675,0
-0.002212,-0.019194,0.036176,-0.023353,0.017766,0.001859,0
-0.011558,0.000122,0.030435,-0.02587,0.002832,0.02912,1
-0.015997,0.030739,0.020728,-0.034225,0.014587,0.046638,1
-0.004734,0.012683,0.005091,-0.043129,0.021471,0.055247,1
-0.037367,-0.019895,0.05362,-0.010449,-0.009389,0.002307,0
-0.026105,-0.037951,0.037984,-0.019352,-0.002504,0.010916,0
-0.030544,-0.007334,0.028277,-0.027708,0.009251,0.028434,1
-0.014375,-0.014088,0.008674,-0.04245,0.042824,0.027299,1
0.011477,0.02424,0.019262,-0.022111,-0.057984,0.051472,0
0.02274,0.006184,0.003626,-0.031014,-0.0511,0.060081,0
0.005122,0.053597,0.030932,-0.019046,-0.03818,0.03312,1
0.035075,-0.00309,0.026779,-0.022916,-0.001427,-0.012794,0
0.02573,0.016226,0.021037,-0.025432,-0.016361,0.014467,1
-0.009425,0.015524,0.038481,-0.012529,-0.043516,0.014916,0
0.022445,-0.039903,0.01295,-0.027818,-0.014813,0.004872,0
0.016089,-0.010546,0.02462,-0.024754,0.004991,-0.01348,0
0.018006,-0.009286,0.003242,-0.036174,-0.003058,0.02239,1
0.000388,0.038127,0.030549,-0.024206,0.009862,-0.004571,1
0.032258,-0.0173,0.005018,-0.039496,0.038565,-0.014615,0
-0.019066,-0.011247,0.042064,-0.01185,-0.022163,-0.013032,0
-0.005887,-0.028043,0.00505,-0.032173,-0.023328,0.031446,0
-0.015232,-0.008727,-0.000691,-0.03469,-0.038262,0.058708,0
-0.012242,0.001314,0.01672,-0.029108,-0.003524,0.013094,1
-0.010326,0.002574,-0.004657,-0.040528,-0.011573,0.048964,3
-0.047397,0.000613,0.034164,-0.016204,-0.030678,0.013542,0
-0.036135,-0.017443,0.018528,-0.025108,-0.023794,0.022151,0
-0.045481,0.001873,0.012787,-0.027624,-0.038728,0.049412,0
-0.015527,-0.054814,0.008633,-0.031494,-0.001975,0.003499,0
-0.031229,-0.006142,0.014562,-0.030946,0.002895,0.012408,1
-0.040574,0.013174,0.008821,-0.033463,-0.012039,0.039669,3
-0.019966,-0.024198,-0.001074,-0.03985,0.00978,0.021016,1
-0.035668,0.024475,0.004855,-0.039302,0.01465,0.029925,3
0.010793,0.025432,0.005547,-0.025349,-0.06434,0.035446,0
0.018689,0.046775,0.018993,-0.025606,-0.002913,-0.019911,0
0.020606,0.048035,-0.002385,-0.037026,-0.010963,0.015959,2
0.031868,0.029979,-0.018021,-0.04593,-0.004078,0.024568,3
-0.01011,0.016717,0.024767,-0.015767,-0.049872,-0.001111,0
0.001152,-0.001339,0.00913,-0.02467,-0.042987,0.007498,0
-0.008193,0.017976,0.003389,-0.027187,-0.057921,0.034759,0
0.004142,0.008702,0.026542,-0.019089,-0.008249,-0.038115,0
-0.014549,0.047333,0.015059,-0.024122,-0.038117,0.016407,2
0.006059,0.009962,0.005164,-0.030509,-0.016299,-0.002245,1
0.007976,0.011222,-0.016213,-0.041929,-0.024348,0.033625,3
-0.027179,0.010521,0.001231,-0.029025,-0.051502,0.034073,0
0.007681,-0.034865,-0.006889,-0.038733,0.011939,-0.021584,0
0.001325,-0.005508,0.004781,-0.035669,0.031743,-0.039937,0
-0.017366,0.033123,-0.006701,-0.040702,0.001875,0.014586,3
0.012587,-0.023564,-0.010855,-0.044572,0.038628,-0.031328,0
-0.006104,0.015067,-0.022338,-0.049605,0.00876,0.023195,3
-0.016212,-0.053622,-0.005082,-0.034732,-0.008331,-0.012528,0
-0.041259,0.014366,-0.004894,-0.036702,-0.018395,0.023643,3
-0.011305,-0.042321,-0.009048,-0.040571,0.018358,-0.022271,0
-0.028924,0.005092,0.018259,-0.028603,0.031277,-0.049232,0
-0.047615,0.043723,0.006777,-0.033637,0.001409,0.005291,2
-0.017661,-0.012964,0.002623,-0.037507,0.038162,-0.040623,0
-0.015744,-0.011704,-0.018755,-0.048927,0.030112,-0.004753,2
-0.001154,0.04468,0.007469,-0.019684,-0.077581,0.010811,0
0.040062,-0.030063,-0.012321,-0.032457,-0.033943,-0.026494,0
0.030716,-0.010747,-0.018062,-0.034974,-0.048877,0.000767,0
0.044968,-0.018762,-0.016287,-0.038296,-0.007255,-0.036237,0
0.026277,0.01987,-0.02777,-0.043329,-0.037123,0.018285,3
0.018004,0.047967,0.005279,-0.028845,-0.009269,-0.035937,0
0.049875,-0.00746,-0.020253,-0.044134,0.019434,-0.045981,0
0.031183,0.031171,-0.031736,-0.049168,-0.010434,0.008542,3
0.009813,-0.019463,0.001157,-0.025392,-0.034409,-0.035789,0
-0.008878,0.019168,-0.010326,-0.030425,-0.064277,0.018733,0
0.021076,-0.037519,-0.014479,-0.034295,-0.027525,-0.02718,0
0.002384,0.001113,-0.025962,-0.039329,-0.057393,0.027342,0
0.016637,-0.006902,-0.024187,-0.04265,-0.01577,-0.009663,2
0.019626,0.00314,-0.006775,-0.037069,0.018968,-0.055276,0
-0.022958,0.023014,-0.01645,-0.038102,-0.03117,0.008303,3
-0.008705,0.014999,-0.014675,-0.041424,0.010453,-0.028701,2
-0.037505,-0.015059,-0.008901,-0.031584,-0.036506,-0.009901,0
-0.035588,-0.013799,-0.030279,-0.043004,-0.044555,0.025969,0
-0.04386,0.014298,0.002769,-0.02852,-0.016701,-0.028253,1
-0.01199,-0.041129,-0.022762,-0.04381,0.012002,-0.038297,0
-0.021336,-0.021813,-0.028504,-0.046326,-0.002932,-0.011036,2
-0.030681,-0.002498,-0.034245,-0.048843,-0.017866,0.016225,3
-0.027691,0.007544,-0.016833,-0.043262,0.016872,-0.029388,2
0.005493,0.033114,0.025751,0.04922,-0.041231,0.052679,0
-0.003852,0.05243,0.02001,0.046703,-0.056165,0.07994,0
0.00741,0.034374,0.004374,0.0378,-0.049281,0.088549,0
0.028018,-0.002997,-0.005521,0.031414,-0.027462,0.069896,0
0.018673,0.016318,-0.011263,0.028897,-0.042396,0.097157,0
0.019746,0.0251,0.027527,0.045898,0.000391,0.015674,0
0.0104,0.044415,0.021785,0.043381,-0.014543,0.042935,0
0.001054,0.063731,0.016044,0.040865,-0.029476,0.070196,0
0.031008,0.007044,0.01189,0.036995,0.007276,0.024283,0
0.021662,0.02636,0.006149,0.034478,-0.007658,0.051544,0
0.012317,0.045675,0.000408,0.031961,-0.022592,0.078805,0
0.032925,0.008304,-0.009487,0.025575,-0.000773,0.060153,0
0.023579,0.027619,-0.015229,0.023058,-0.015707,0.087414,0
0.015306,0.055717,0.017819,0.037543,0.012146,0.033192,0
0.005961,0.075032,0.012078,0.035026,-0.002788,0.060453,0
0.035915,0.018345,0.007924,0.031156,0.033965,0.014539,0
0.026569,0.037661,0.002183,0.028639,0.019031,0.041801,0
0.017223,0.056977,-0.003558,0.026123,0.004097,0.069062,0
0.028486,0.038921,-0.019195,0.017219,0.010982,0.077671,0
-0.004147,0.006343,0.029334,0.049899,-0.019879,0.024731,0
-0.013493,0.025658,0.023593,0.047382,-0.034813,0.051992,0
0.007115,-0.011713,0.013698,0.040996,-0.012994,0.03334,0
-0.00223,0.007603,0.007957,0.038479,-0.027928,0.060601,0
-0.011576,0.026918,0.002215,0.035962,-0.042862,0.087862,0
0.018378,-0.029769,-0.001939,0.032092,-0.006109,0.041948,0
0.009032,-0.010453,-0.00768,0.029576,-0.021043,0.06921,0
-0.000314,0.008862,-0.013421,0.027059,-0.035977,0.096471,0
-0.008586,0.03696,0.019627,0.041543,-0.008124,0.042249,0
0.012022,-0.000412,0.009732,0.035157,0.013695,0.023596,0
0.002676,0.018904,0.003991,0.03264,-0.001239,0.050857,0
-0.006669,0.038219,-0.001751,0.030123,-0.016173,0.078119,0
0.023284,-0.018468,-0.005905,0.026254,0.020579,0.032205,0
0.013939,0.000848,-0.011646,0.023737,0.005645,0.059466,0
0.004593,0.020164,-0.017387,0.02122,-0.009288,0.086727,0
0.005666,0.028945,0.021402,0.038222,0.033499,0.005244,0
-0.00368,0.048261,0.015661,0.035705,0.018565,0.032505,0
-0.013025,0.067577,0.00992,0.033188,0.003631,0.059766,0
0.016928,0.010889,0.005766,0.029318,0.040384,0.013853,0
0.007583,0.030205,0.000025,0.026801,0.02545,0.041114,0
-0.001763,0.049521,-0.005717,0.024285,0.010516,0.068375,0
0.028191,-0.007166,-0.009871,0.020415,0.047268,0.022461,0
0.018845,0.012149,-0.015612,0.017898,0.032334,0.049723,0
0.0095,0.031465,-0.021353,0.015381,0.0174,0.076984,0
-0.023133,-0.001113,0.027176,0.048061,-0.01346,0.024044,0
-0.041824,0.037518,0.015693,0.043027,-0.043328,0.078567,0
-0.011871,-0.019169,0.011539,0.039158,-0.006575,0.032653,0
-0.021216,0.000147,0.005798,0.036641,-0.021509,0.059914,0
-0.030562,0.019462,0.000057,0.034124,-0.036443,0.087175,0
-0.009954,-0.017909,-0.009838,0.027738,-0.014624,0.068523,0
-0.0193,0.001407,-0.01558,0.025221,-0.029558,0.095784,0
-0.027572,0.029504,0.017469,0.039705,-0.001705,0.041562,0
-0.036918,0.048819,0.011727,0.037189,-0.016639,0.068823,0
-0.006964,-0.007868,0.007573,0.033319,0.020114,0.02291,0
-0.01631,0.011448,0.001832,0.030802,0.00518,0.050171,0
